,app_id,attemptId,completionTime-0,completionTime-1,completionTime-2,inputBytes-0,inputBytes-1,inputBytes-2,numActiveTasks,numCompleteTasks,numFailedTasks,shuffleReadBytes-0,shuffleReadBytes-1,shuffleReadBytes-2,shuffleWriteBytes-0,shuffleWriteBytes-1,shuffleWriteBytes-2,stageId,status
63,app-20170605204107-1068,0,,33.385,,,1533065387.0,,0,12,0,,0.0,,,1181182732.0,,1,COMPLETE
64,app-20170606045244-0082,0,,4.053,,,1425488.0,,0,2,0,,0.0,,,1066937.0,,1,COMPLETE
65,app-20170606045244-0082,0,3.897,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
66,app-20170606045244-0082,0,,,6.623,,,0.0,0,200,0,,,1070927.0,,,0.0,2,COMPLETE
67,app-20170605211003-1085,0,10.829,,,239192537.0,,,0,2,0,0.0,,,126868397.0,,,0,COMPLETE
68,app-20170603021951-0587,0,,,8.712,,,0.0,0,200,0,,,34771946.0,,,0.0,2,COMPLETE
69,app-20170603021951-0587,0,,4.307,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
70,app-20170603021951-0587,0,5.705,,,48846488.0,,,0,2,0,0.0,,,34767956.0,,,0,COMPLETE
71,app-20170606112320-0320,0,8.603,,,479801578.0,,,0,4,0,0.0,,,256543769.0,,,0,COMPLETE
72,app-20170606112320-0320,0,,7.522,,,5718582.0,,0,2,0,,0.0,,,4666360.0,,1,COMPLETE
73,app-20170606112320-0320,0,,,25.475,,,0.0,0,200,0,,,261210129.0,,,0.0,2,COMPLETE
74,app-20170606121730-0365,0,,,138.675,,,0.0,0,200,0,,,3410768199.0,,,0.0,2,COMPLETE
75,app-20170606121730-0365,0,19.479,,,870580522.0,,,0,7,0,0.0,,,552515414.0,,,0,COMPLETE
76,app-20170606121730-0365,0,,104.225,,,3865016361.0,,0,29,0,,0.0,,,2858252785.0,,1,COMPLETE
77,app-20170606015411-1247,0,9.796,,,479801578.0,,,0,4,0,0.0,,,256549712.0,,,0,COMPLETE
78,app-20170606015411-1247,0,,84.303,,,3087316780.0,,0,23,0,,0.0,,,2366016746.0,,1,COMPLETE
79,app-20170606015411-1247,0,,,128.407,,,0.0,0,200,0,,,2622566458.0,,,0.0,2,COMPLETE
80,app-20170606132844-0397,0,,97.7,,,3865016361.0,,0,29,0,,0.0,,,2958216658.0,,1,COMPLETE
81,app-20170606132844-0397,0,9.726,,,600091310.0,,,0,5,0,0.0,,,321019395.0,,,0,COMPLETE
82,app-20170606132844-0397,0,,,157.577,,,0.0,0,200,0,,,3279236053.0,,,0.0,2,COMPLETE
83,app-20170602110113-0254,0,,,160.462,,,0.0,0,200,0,,,1962661819.0,,,0.0,2,COMPLETE
84,app-20170602170133-0428,0,,,28.582,,,0.0,0,200,0,,,404190420.0,,,0.0,2,COMPLETE
85,app-20170602170133-0428,0,,12.579,,,121181705.0,,0,2,0,,0.0,,,87601917.0,,1,COMPLETE
86,app-20170602170133-0428,0,10.551,,,600091310.0,,,0,5,0,0.0,,,316588503.0,,,0,COMPLETE
87,app-20170602051821-0121,0,,31.812,,,1533065387.0,,0,12,0,,0.0,,,1141517846.0,,1,COMPLETE
88,app-20170602051821-0121,0,,,16.939,,,0.0,0,200,0,,,1141517846.0,,,0.0,2,COMPLETE
89,app-20170602154147-0359,0,,7.934,,,5718582.0,,0,2,0,,0.0,,,4666360.0,,1,COMPLETE
90,app-20170602154147-0359,0,9.388,,,479801578.0,,,0,4,0,0.0,,,256543769.0,,,0,COMPLETE
91,app-20170602154147-0359,0,,,26.444,,,0.0,0,200,0,,,261210129.0,,,0.0,2,COMPLETE
92,app-20170602053558-0136,0,,,8.856,,,0.0,0,200,0,,,34771946.0,,,0.0,2,COMPLETE
93,app-20170602053558-0136,0,5.696,,,48846488.0,,,0,2,0,0.0,,,34767956.0,,,0,COMPLETE
94,app-20170602053558-0136,0,,4.121,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
95,app-20170606044800-0076,0,,,6.381,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
96,app-20170606043324-0059,0,5.71,,,118998996.0,,,0,2,0,0.0,,,62905773.0,,,0,COMPLETE
97,app-20170606043324-0059,0,,3.905,,,1425488.0,,0,2,0,,0.0,,,1293745.0,,1,COMPLETE
98,app-20170606043324-0059,0,,,11.432,,,0.0,0,200,0,,,64199518.0,,,0.0,2,COMPLETE
99,app-20170603060930-0765,0,,4.319,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
